h_s:  5 , h_r:  16
領域数:  192
h_s:  6 , h_r:  96
領域数:  256
h_s:  5 , h_r:  96
領域数:  302
h_s:  5 , h_r:  128
領域数:  283
h_s:  5 , h_r:  32
領域数:  177
h_s:  6 , h_r:  64
領域数:  211
h_s:  5 , h_r:  48
領域数:  264
h_s:  6 , h_r:  128
領域数:  225
h_s:  7 , h_r:  128
領域数:  174
h_s:  5 , h_r:  24
領域数:  159
h_s:  6 , h_r:  24
領域数:  126
h_s:  5 , h_r:  64
領域数:  274
h_s:  6 , h_r:  16
領域数:  141
h_s:  6 , h_r:  32
領域数:  110
h_s:  7 , h_r:  64
領域数:  147
h_s:  7 , h_r:  96
領域数:  202
h_s:  6 , h_r:  48
領域数:  190
h_s:  8 , h_r:  64
領域数:  106
h_s:  8 , h_r:  96
領域数:  147
h_s:  7 , h_r:  48
領域数:  147
h_s:  7 , h_r:  16
領域数:  103
h_s:  8 , h_r:  48
領域数:  101
h_s:  9 , h_r:  64
領域数:  66
h_s:  8 , h_r:  128
領域数:  127
h_s:  8 , h_r:  16
領域数:  61
h_s:  9 , h_r:  96
領域数:  99
h_s:  7 , h_r:  24
領域数:  93
h_s:  9 , h_r:  128
領域数:  86
h_s:  7 , h_r:  32
領域数:  54
h_s:  10 , h_r:  128
領域数:  52
h_s:  9 , h_r:  48
領域数:  61
h_s:  10 , h_r:  96
領域数:  61
h_s:  9 , h_r:  16
領域数:  49
h_s:  10 , h_r:  16
領域数:  54
h_s:  11 , h_r:  96
領域数:  30
h_s:  10 , h_r:  48
領域数:  39
h_s:  10 , h_r:  64
領域数:  38
h_s:  13 , h_r:  96
領域数:  1
h_s:  13 , h_r:  128
領域数:  1
h_s:  8 , h_r:  32
領域数:  24
h_s:  9 , h_r:  24
領域数:  13
h_s:  11 , h_r:  48
領域数:  16
h_s:  8 , h_r:  24
領域数:  37
h_s:  11 , h_r:  128
領域数:  26
h_s:  11 , h_r:  64
領域数:  21
h_s:  11 , h_r:  16
領域数:  43
h_s:  12 , h_r:  16
領域数:  45
h_s:  9 , h_r:  32
領域数:  8
h_s:  12 , h_r:  128
領域数:  9
h_s:  12 , h_r:  96
領域数:  8
h_s:  13 , h_r:  16
領域数:  60
h_s:  10 , h_r:  32
領域数:  4
h_s:  12 , h_r:  64
領域数:  5
h_s:  11 , h_r:  32
領域数:  3
h_s:  10 , h_r:  24
領域数:  6
h_s:  13 , h_r:  64
領域数:  2
h_s:  13 , h_r:  24
領域数:  24
h_s:  13 , h_r:  48
領域数:  1
h_s:  12 , h_r:  48
領域数:  7
h_s:  12 , h_r:  32
領域数:  6
h_s:  11 , h_r:  24
領域数:  8
h_s:  12 , h_r:  24
領域数:  5
h_s:  13 , h_r:  32
領域数:  2
